M006.ordinal,M006.onset,M006.offset,M006.code01,
0,31756,0,"B",
1,31926,32028,"L",
2,32062,32912,"R",
3,32946,33728,"L",
4,33762,35088,"R",
5,35122,35734,"L",
6,35768,37026,"R",
7,37060,37502,"L",
8,37536,40936,"R",
9,40970,41106,"L",
10,41106,0,"S",
11,42262,0,"B",
12,42466,43486,"R",
13,43520,44710,"L",
14,44744,46206,"R",
15,46240,48212,"L",
16,48246,48926,"R",
17,48960,50184,"L",
18,50218,51102,"R",
19,51136,51816,"L",
20,51850,52292,"R",
21,52292,0,"S",
22,62356,0,"B",
23,62594,64702,"L",
24,64736,68952,"R",
25,68986,70312,"L",
26,70312,0,"S",
27,71400,0,"B",
28,71672,79118,"C",
29,79118,0,"S",
30,80172,0,"B",
31,80376,88230,"C",
32,88230,0,"S",
33,89386,0,"B",
34,89590,96696,"C",
35,96696,0,"S",
36,106794,0,"B",
37,106896,114580,"C",
38,114580,0,"S",
39,115634,0,"B",
40,115804,124882,"C",
41,124882,0,"S",
42,125936,0,"B",
43,126140,133382,"C",
44,133382,0,"S",
45,143412,0,"B",
46,143718,144806,"R",
47,144840,145486,"L",
48,145520,146982,"R",
49,147016,148206,"L",
50,148240,149090,"R",
51,149090,0,"S",
52,154156,0,"B",
53,154360,155618,"R",
54,155652,156094,"L",
55,156162,156604,"R",
56,156638,157692,"L",
57,157726,159800,"R",
58,159800,0,"S",
59,164832,0,"B",
60,165036,165818,"L",
61,165852,166702,"R",
62,166736,169320,"L",
63,169354,169932,"R",
64,169966,170612,"L",
65,170612,0,"S",
66,175746,0,"B",
67,175950,177310,"R",
68,177344,177718,"L",
69,177752,178330,"R",
70,178330,179112,"L",
71,179146,181016,"R",
72,181254,181628,"L",
73,181628,0,"S",
74,191760,0,"B",
75,191862,195160,"R",
76,195194,195942,"L",
77,195976,197438,"R",
78,197438,0,"S",
79,202402,0,"B",
80,202776,205870,"R",
81,205904,206448,"L",
82,206482,207842,"R",
83,207876,208556,"L",
84,208590,208964,"R",
85,208998,209134,"L",
86,209134,0,"S",
87,214200,0,"B",
88,214506,216274,"L",
89,216308,216954,"R",
90,216988,218484,"L",
91,218518,220082,"R",
92,220082,0,"S",
93,225114,0,"B",
94,225318,227766,"R",
95,227800,228684,"L",
96,228718,229976,"R",
97,230010,230996,"L",
98,230996,0,"S",
99,243032,0,"B",
100,243202,245378,"L",
101,245412,248098,"R",
102,248132,249560,"L",
103,249594,250988,"R",
104,250988,0,"S",
105,252008,0,"B",
106,252280,259522,"C",
107,259522,0,"S",
108,260508,0,"B",
109,260746,268294,"C",
110,268294,0,"S",
111,269314,0,"B",
112,269450,276216,"C",
113,276216,0,"S",
114,286280,0,"B",
115,286382,288626,"C",
116,289884,290088,"C",
117,291448,294814,"C",
118,294814,0,"S",
119,295970,0,"B",
120,296072,304810,"C",
121,304810,0,"S",
122,305898,0,"B",
123,306000,307802,"C",
124,310556,314024,"C",
125,314024,0,"S",
126,324190,0,"B",
127,324564,325720,"R",
128,325720,329664,"L",
129,329698,329970,"R",
130,329970,0,"S",
131,335478,0,"B",
132,335682,336736,"R",
133,336770,340646,"L",
134,340646,0,"S",
135,345780,0,"B",
136,345984,346154,"R",
137,346188,347072,"L",
138,347106,351186,"R",
139,351186,0,"S",
140,356320,0,"B",
141,356490,358258,"R",
142,358292,361930,"L",
143,361930,0,"S",
144,372028,0,"B",
145,372130,375224,"R",
146,375258,377910,"L",
147,377910,0,"S",
148,382942,0,"B",
149,383146,385016,"R",
150,385050,385492,"L",
151,385526,388314,"R",
152,388348,388620,"L",
153,388620,0,"S",
154,393652,0,"B",
155,393856,399228,"R",
156,399228,0,"S",
157,404260,0,"B",
158,404668,405416,"L",
159,405450,406334,"R",
160,406368,406912,"L",
161,406946,409122,"R",
162,409156,409734,"L",
163,409734,0,"S",
